Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms
Actual Length Of Stay,glossary_term,,Time period of a given patient's stay in a provider's facility,,,,
Admission Date Time,glossary_term,,Date and Time upon which the patient was admitted.,,,,
Admitting Diagnosis,glossary_term,,The diagnosis code recorded at the time of Admission,,,,
Admit Weekday,glossary_term,,Code indicating day of week patient is admitted,,,,
Center of Excellence Indicator,glossary_term,,Indicates that a hospital or other institutional provider has one or more externally recognized centers of excellence.,,,,
Charges Per Day,glossary_term,,"Sum of accommodation charges, non-covered accommodation charges, ancillary charges, noncovered ancillary charges divided by length of stay.",,,,
Clinic Amount,glossary_term,,"Indicates the charges associated with the clinic, for example: ancillary service charge, clinic visit charge amount.",,,,
CMS Branch Cert Number,glossary_term,,Specifies the agency’s Centers for Medicare and Medicaid Services (CMS) certification number (CCN/Medicare provider number).,,,,
CMS Branch Identifier Number,glossary_term,,"The branch identification code, as assigned by Centers for Medicare and Medicaid Services (CMS).  The identifier consists of ten digits, where the state code are the first two digits, followed by Q, followed by the last four digits of the current  medicare provider number, ending with the three digit, CMS assigned branch number.",,,,
CMS Branch State Code,glossary_term,,Indicates the standard code for states or provinces assigned by the Centers for Medicare and Medicaid Services (CMS).,,,,
Country,glossary_term,,A geographic area that defines the boundaries of a nation.,,,,
County,glossary_term,,Name of the county.,,,,
Date Of Birth,glossary_term,,Identifies the birth date of an individual.,,,,
Diagnosis,glossary_term,,The information related to the identification of the nature of an illness or other problem by examination.,,,,
Diagnosis Code,glossary_term,,"Indicates the diagnosis code, for example: ICD9,ICD10",,,,
Diagnosis Code Description,glossary_term,,Textual description of the diagnosis code.,,,,
Discharge Date Quarter,glossary_term,,Quarter and year in which patient was discharged ,,,,
Discharge Date Time,glossary_term,,Time stamp of patient's discharge from the provider facility,,,,
Distance To Hospital,glossary_term,,"Indicates the distance between patient's location and the hospital, for example: distance between patient home and hospital.
",,,,
Encounter,glossary_term,,A formal visit of a patient to a hospital seeking for treatment ,,,,
Encounter End Ts,glossary_term,,Indicates the date and time upon which the encounter ended.,,,,
Encounter Identifier,glossary_term,,A unique number that identifies a patient's encounter with a provider,,,,
Encounter Indicator,glossary_term,,Indicates the encounter for a diagnosis.,,,,
Encounter Location,glossary_term,,Location of the patient's meeting with the Provider,,,,
Encounter Start Ts,glossary_term,,Indicates the date and time upon which the encounter started.,,,,
Ethnicity,glossary_term,,"A classification of an individual based on their membership in a group that is united and defined to a greater or lesser degree by common history, beliefs, culture, nationality, etc.",,,,
Facility Location,glossary_term,,Identifies the physical location of the healthcare provider.,,,,
Facility Name,glossary_term,,Indicates the type of healthcare facility.,,,,
First Payment Source,glossary_term,,"Code indicating the expected primary source of payment.
",,,,
Gender,glossary_term,,"Indicates an individual's gender, for example: male, female.",,,,
Guideline Compliance Rating,glossary_term,,"An indicator that shows how often, based on applicable treatments, a healthcare provider renders care in accordance with applicable evidence-based clinical practice guidelines during a one-year measurement period.",,,,
Illness Severity,glossary_term,,Indicates the severity of illness.,,,,
